procurement-id_id-approvisionnement,Project-number_Numéro-de-projet,Vendor-name_Nom-du-fournisseur,Payment-date_Date-de-paiement,Proper-Invoice-Received-Date_date-de-réception-de-la-facture-en-règle
EA00370329,R.088204.001,"NORTH SHORE ROOFING LTD.",2017-05-09,2017-03-16
EQ75470483,R.076458.002,"PROTECK ROOFING & SHEET METAL INC.",2017-05-10,2017-03-17
EQ75450756,R.012641.001,"THE STATE GROUP INC.",2017-05-02,2017-04-06
EF171366,R.079823.001,"CONSTRUCTION SOCAM LTEE",2017-05-02,2017-04-06
EP75651517,R.009790.328,"ACME FUTURE SECURITY CONTROLS INC.",2017-05-05,2017-04-11
EP75051699,R.029435.327,"ACME FUTURE SECURITY CONTROLS INC.",2017-05-09,2017-04-13
EJ19622337,,"G A L POWER SYSTEMS OTTAWA LTD",2017-05-16,2017-04-20
EE51771572,R.065090.101,"JES CONSTRUCTION INC.",2017-05-16,2017-04-20
EJ19630410,,"CUMMINS EST DU CANADA SEC",2017-05-19,2017-04-25
EP67171354,R.068270.013,"NICOLINI CONSTRUCTION LTD",2017-05-12,2017-05-09
EP75150193,R.011801.219,"CLEVELAND QUARRIES",2017-05-12,2017-03-31
EP75150193,R.011801.219,"CLEVELAND QUARRIES",2017-05-12,2017-04-06
EP75060408,R.008227.216,"BRENNING CONSTRUCTION (1986)LTD",2017-05-12,2017-04-05
EP75060408,R.011801.216,"BRENNING CONSTRUCTION (1986)LTD",2017-05-12,2017-04-05
EC15161855,R.046114.201,"C.Y.BOUCHER ENGINEERING AND",2017-05-18,2017-04-24
EA03171543,R.072210.001,"NEWFOUNDLAND ELECTRICAL LIMITED",2017-05-19,2017-04-25
700326520,,"OTIS CANADA INC",2017-05-24,2017-04-30
E160345001,R.077720.001,"MICHAEL CUCCIONE",2017-05-02,2017-04-08
E160345001,R.078882.001,"MICHAEL CUCCIONE",2017-05-02,2017-04-08
E160345001,R.089161.001,"MICHAEL CUCCIONE",2017-05-02,2017-04-08
E160345001,R.089279.001,"MICHAEL CUCCIONE",2017-05-02,2017-04-08
EJ19680830,R.041736.131,"COMPLETE ENTRY SYSTEMS AND SERVICES",2017-05-02,2017-04-06
EJ19670523,R.064512.051,"LAR-MEX INC.",2017-05-02,2014-04-27
EJ19670523,R.064541.040,"LAR-MEX INC.",2017-05-02,2014-04-27
EJ19670523,R.064594.555,"LAR-MEX INC.",2017-05-02,2014-04-27
EW03871054,R.073456.007,"ARCTIC CANADA CONSTRUCTION LTD.",2017-05-02,2017-04-06
EW03871054,R.073456.008,"ARCTIC CANADA CONSTRUCTION LTD.",2017-05-02,2017-04-06
EQ75017086,R.065728.301,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-02,2017-04-07
EQ75017086,R.076951.109,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-02,2017-04-07
EQ75017086,R.076951.209,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-02,2017-04-07
EQ75017086,R.076951.309,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-02,2017-04-07
EQ75017086,R.076951.409,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-02,2017-04-07
EQ75017086,R.076951.509,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-02,2017-04-07
EQ75017086,R.076951.609,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-02,2017-04-07
EQ75017086,R.076951.709,"MAPLE REINDERS CONSTRUCTORS LTD.",2017-05-02,2017-04-07
ET25150330,R.065681.001,"BLCS DEVELOPMENT LIMITED",2017-05-02,2017-03-07
EC01561449,R.079629.001,"NORTHEAST DIVING LTD.",2017-05-02,2017-04-07
EV38570991,R.076602.001,"GARNETT INDUSTRIES LTD",2017-05-02,2017-04-06
EE52060798,R.058919.001,"9124-4905 QUEBEC INC.",2017-05-03,2017-03-10
EJ19640084,R.041736.183,"CUMMINS EST DU CANADA SEC",2017-05-04,2017-04-10
EJ19640084,R.041736.423,"CUMMINS EST DU CANADA SEC",2017-05-04,2017-04-10
EJ19640084,R.041736.442,"CUMMINS EST DU CANADA SEC",2017-05-04,2017-04-10
E171785001,R.080283.001,"SCHUBERT PLUMBING & HEATING LTD.",2017-05-04,2017-04-03
EQ75171545,R.079197.029,"GREYLEITH ENGINEERING AND",2017-05-04,2017-04-10
EJ19623002,R.064594.518,"VCI CONTROLS INC.",2017-05-05,2017-03-28
EJ19631555,R.026001.021,"VCI CONTROLS INC.",2017-05-05,2017-03-28
EJ19640470,R.041463.011,"VCI CONTROLS INC.",2017-05-05,2017-03-28
EJ19652069,R.011899.008,"AINSWORTH INC.",2017-05-05,2017-03-08
EQ71071023,R.076919.001,"AVERY CONSTRUCTION LIMITED",2017-05-05,2017-04-11
EC15161440,R.076588.001,"BLACK & MCDONALD LTD.",2017-05-13,2017-03-20
EF161843,R.073166.001,"NEVE REFRIGERATION INC",2017-05-09,2017-03-14
EQ73462478,R.072648.001,"JEFFREY G WALLANS CONSTRUCTION",2017-05-16,2017-03-23
EC01671374,R.082678.001,"AVONDALE CONSTRUCTION LIMITED",2017-05-17,2017-03-24
E020962356,R.076650.001,"B.P.R. CONSTRUCTION LTD",2017-05-27,2017-04-03
E170983001,R.076293.001,"STORY CONSTRUCTION LTD",2017-05-11,2017-04-11
E170525001,R.076286.002,"STORY CONSTRUCTION LTD",2017-05-11,2017-04-11
700380232,R.089303.001,"ECO-TECHNOLOGIES LTEE",2017-05-20,2017-04-26
EJ19660460,R.041736.314,"BLACK & MCDONALD LTD.",2017-05-19,2017-04-25
E160345001,R.077720.001,"MICHAEL CUCCIONE",2017-05-16,2017-04-22
E160345001,R.078882.001,"MICHAEL CUCCIONE",2017-05-16,2017-04-22
E160345001,R.089161.001,"MICHAEL CUCCIONE",2017-05-16,2017-04-22
EJ19670523,R.064594.555,"LAR-MEX INC.",2017-05-19,2017-04-25
EJ19651337,R.026001.075,"CUMMINS EST DU CANADA SEC",2017-05-19,2017-04-25
EJ19651337,R.011899.059,"CUMMINS EST DU CANADA SEC",2017-05-19,2017-04-25
EJ19651337,R.011900.035,"CUMMINS EST DU CANADA SEC",2017-05-19,2017-04-25
