OAT (F),Power (kW)
51,165.1
51,151.6
51,146.9
51,153.7
51,153.8
51,159
51,157.7
51,163.2
50,151.7
50,148.7
50,155.1
50,161.5
50,161.5
50,162
50,166
50,159
50,158.6
50,152.1
50,162
50,164.4
49,163.6
49,168.8
49,163.7
49,156.2
50,168.4
50,165.1
50,172.5
50,177.3
50,266.2
50,255.6
50,257.3
50,255
51,267.3
51,260.8
51,260.4
51,258.2
53,258.4
53,259.4
53,261.9
53,264.1
56,274.2
56,267.1
56,271.1
56,275.7
57,268.4
57,272.3
57,269.2
57,274.1
56,279.2
56,276.1
56,275.5
56,277.9
59,277.1
59,282.1
59,277.4
59,275.6
62,275.8
62,278.4
62,278.8
62,274.2
61,281.4
61,281.8
61,277.4
61,297.6
60,324.1
60,316.5
60,317.4
60,318.3
58,313
58,333.4
58,348.3
58,311.2
58,343.5
58,349.6
58,311.6
58,329.3
56,347.1
56,310
56,331.6
56,313.7
56,288.9
56,327.4
56,299.1
56,288
55,314.1
55,308.8
55,286.8
55,288.2
56,199.1
56,197
56,165.2
56,163.1
51,154.4
51,152.2
51,158.7
51,163.8
50,158.7
50,152.3
50,155.2
50,155.9
50,152.1
50,154.1
50,155.9
50,156.8
49,153.9
49,152.2
49,165.6
49,168.8
48,160.5
48,160.6
48,161.1
48,160.7
50,157
50,161.7
50,158.4
50,165.8
51,166.4
51,168
51,159.5
51,164.2
50,170.3
50,178.8
50,181.5
50,182.4
52,270.9
52,269.4
52,273.1
52,268.3
53,277.7
53,269.8
53,268
53,258.3
54,260.7
54,257.2
54,256.3
54,255
56,270.9
56,269.6
56,307.6
56,283.5
57,266.1
57,295.9
57,278.5
57,269.5
56,297.5
56,294.4
56,300.7
56,287.5
56,288.4
56,288.4
56,283.9
56,310.4
56,285.3
56,288.9
56,277.1
56,280.3
56,271.8
56,301.8
56,282.2
56,285
54,326.2
54,311.7
54,313.4
54,305
55,300.7
55,303.2
55,299.8
55,307.7
54,315.8
54,304.1
54,305.6
54,290.9
53,289.4
53,285.2
53,276.6
53,282
49,291.6
49,286.9
49,290.1
49,285.1
48,285.7
48,286.6
48,281.9
48,281.3
48,190.3
48,194.8
48,163.7
48,159.3
46,158.4
46,152.9
46,159.6
46,161.6
45,159.9
45,149.8
45,148.7
45,153.2
44,150.6
44,151.6
44,160.6
44,165.7
43,154.9
43,149
43,163.5
43,161.2
42,158.6
42,154.9
42,162
42,162.7
41,160.3
41,162.3
41,168.3
41,165.3
41,166.8
41,166.7
41,172.6
41,171.1
39,175.5
39,185.4
39,188.8
39,186.6
39,267
39,267.3
39,262.6
39,258.2
43,262
43,259.4
43,256.6
43,258.2
46,262.8
46,264.7
46,262.9
46,263.8
53,270.7
53,264.2
53,269.3
53,265.9
53,265.7
53,261.7
53,270.9
53,280
56,281
56,278.9
56,276.5
56,276
57,273.1
57,270.2
57,276.3
57,265
58,266.2
58,267.3
58,275.4
58,273
57,273
57,272.5
57,266.3
57,284
53,315
53,313.9
53,314.4
53,312.9
51,310
51,310.1
51,310.1
51,317.6
51,312.9
51,308
51,306.9
51,305.5
49,297.2
49,293.6
49,300
49,292.8
48,288.1
48,285.8
48,286.9
48,283.8
48,193.6
48,191.7
48,158.9
48,169.1
48,161.4
48,166.9
48,165
48,164.1
47,168.5
47,155.4
47,166.7
47,161.3
47,163.1
47,152.5
47,147
47,154.6
46,161
46,158.9
46,159.3
46,165.4
44,160.9
44,151.5
44,157.2
44,166.1
44,161.9
44,161.4
44,167.9
44,162.2
44,166.7
44,163.5
44,164
44,170.2
45,166.3
45,177.2
45,174.5
45,168.1
45,189.4
45,188.9
45,176.8
45,181.7
44,268
44,261.1
44,258.5
44,261.7
46,264.2
46,258.3
46,266.4
46,267.4
47,265.7
47,265.2
47,264.2
47,266.3
47,262.8
47,262.4
47,265.5
47,270.7
50,261.6
50,272.9
50,275.8
50,271
52,276.3
52,274
52,276.1
52,278.1
54,274.5
54,276.6
54,271.6
54,271.9
56,272.8
56,271
56,271.9
56,277.7
57,267.8
57,266.1
57,269.5
57,279.1
54,312.1
54,314.1
54,309.7
54,310.2
51,302.1
51,301.4
51,304.5
51,305.6
49,312.9
49,306
49,308.3
49,305.1
49,296.7
49,299.9
49,298.2
49,300.2
48,300.4
